Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
01/03/2022;00:00:00;0             ;232             ;99.35;
01/03/2022;00:15:00;0             ;231             ;98.5;
01/03/2022;00:30:00;0             ;231             ;98.5;
01/03/2022;00:45:00;0             ;230             ;97.65;
01/03/2022;01:00:00;0             ;230             ;97.65;
01/03/2022;01:15:00;0             ;231             ;98.5;
01/03/2022;01:30:00;0             ;232             ;99.35;
01/03/2022;01:45:00;0             ;233             ;100.21;
01/03/2022;02:00:00;0             ;235             ;101.93;
01/03/2022;02:15:00;0             ;238             ;104.53;
01/03/2022;02:30:00;0             ;241             ;107.27;
01/03/2022;02:45:00;0             ;244             ;110.28;
01/03/2022;03:00:00;0             ;248             ;114.34;
01/03/2022;03:15:00;0             ;252             ;118.44;
01/03/2022;03:30:00;0             ;255             ;121.55;
01/03/2022;03:45:00;0             ;258             ;124.69;
01/03/2022;04:00:00;0             ;261             ;127.86;
01/03/2022;04:15:00;0             ;264             ;131.06;
01/03/2022;04:30:00;0             ;266             ;133.2;
01/03/2022;04:45:00;             ;             ;;
01/03/2022;05:00:00;             ;             ;;
01/03/2022;05:15:00;             ;             ;;
01/03/2022;05:30:00;             ;             ;;
01/03/2022;05:45:00;             ;             ;;
01/03/2022;06:00:00;0             ;250             ;116.38;
01/03/2022;06:15:00;0             ;250             ;116.38;
01/03/2022;06:30:00;0             ;249             ;115.36;
01/03/2022;06:45:00;0             ;265             ;132.13;
01/03/2022;07:00:00;0             ;264             ;131.06;
01/03/2022;07:15:00;0             ;262             ;128.92;
01/03/2022;07:30:00;0             ;260             ;126.8;
01/03/2022;07:45:00;0             ;258             ;124.69;
01/03/2022;08:00:00;0             ;256             ;122.6;
01/03/2022;08:15:00;0             ;254             ;120.51;
01/03/2022;08:30:00;0             ;252             ;118.44;
01/03/2022;08:45:00;0             ;232             ;99.35;
01/03/2022;09:00:00;0             ;230             ;97.65;
01/03/2022;09:15:00;0             ;228             ;95.95;
01/03/2022;09:30:00;0             ;226             ;94.27;
01/03/2022;09:45:00;0             ;243             ;109.27;
01/03/2022;10:00:00;0             ;241             ;107.27;
01/03/2022;10:15:00;0             ;239             ;105.4;
01/03/2022;10:30:00;0             ;238             ;104.53;
01/03/2022;10:45:00;0             ;236             ;102.79;
01/03/2022;11:00:00;0             ;235             ;101.93;
01/03/2022;11:15:00;0             ;234             ;101.07;
01/03/2022;11:30:00;0             ;233             ;100.21;
01/03/2022;11:45:00;0             ;213             ;83.6;
01/03/2022;12:00:00;0             ;212             ;82.8;
01/03/2022;12:15:00;0             ;212             ;82.8;
01/03/2022;12:30:00;0             ;210             ;81.2;
01/03/2022;12:45:00;0             ;210             ;81.2;
01/03/2022;13:00:00;0             ;210             ;81.2;
01/03/2022;13:15:00;0             ;209             ;80.41;
01/03/2022;13:30:00;0             ;208             ;79.62;
01/03/2022;13:45:00;0             ;208             ;79.62;
01/03/2022;14:00:00;0             ;208             ;79.62;
01/03/2022;14:15:00;0             ;207             ;78.83;
01/03/2022;14:30:00;0             ;207             ;78.83;
01/03/2022;14:45:00;0             ;207             ;78.83;
01/03/2022;15:00:00;0             ;207             ;78.83;
01/03/2022;15:15:00;0             ;207             ;78.83;
01/03/2022;15:30:00;0             ;207             ;78.83;
01/03/2022;15:45:00;0             ;226             ;94.27;
01/03/2022;16:00:00;0             ;227             ;95.11;
01/03/2022;16:15:00;0             ;227             ;95.11;
01/03/2022;16:30:00;0             ;228             ;95.95;
01/03/2022;16:45:00;0             ;230             ;97.65;
01/03/2022;17:00:00;0             ;231             ;98.5;
01/03/2022;17:15:00;0             ;233             ;100.21;
01/03/2022;17:30:00;0             ;235             ;101.93;
01/03/2022;17:45:00;0             ;236             ;102.79;
01/03/2022;18:00:00;0             ;238             ;104.53;
01/03/2022;18:15:00;0             ;240             ;106.28;
01/03/2022;18:30:00;0             ;241             ;107.27;
01/03/2022;18:45:00;0             ;242             ;108.27;
01/03/2022;19:00:00;0             ;244             ;110.28;
01/03/2022;19:15:00;0             ;245             ;111.29;
01/03/2022;19:30:00;0             ;246             ;112.3;
01/03/2022;19:45:00;0             ;248             ;114.34;
01/03/2022;20:00:00;0             ;248             ;114.34;
01/03/2022;20:15:00;0             ;249             ;115.36;
01/03/2022;20:30:00;0             ;250             ;116.38;
01/03/2022;20:45:00;0             ;250             ;116.38;
01/03/2022;21:00:00;0             ;251             ;117.41;
01/03/2022;21:15:00;0             ;251             ;117.41;
01/03/2022;21:30:00;0             ;252             ;118.44;
01/03/2022;21:45:00;0             ;252             ;118.44;
01/03/2022;22:00:00;0             ;252             ;118.44;
01/03/2022;22:15:00;0             ;252             ;118.44;
01/03/2022;22:30:00;0             ;253             ;119.48;
01/03/2022;22:45:00;0             ;252             ;118.44;
01/03/2022;23:00:00;0             ;253             ;119.48;
01/03/2022;23:15:00;0             ;253             ;119.48;
01/03/2022;23:30:00;0             ;253             ;119.48;
01/03/2022;23:45:00;0             ;253             ;119.48;
02/03/2022;00:00:00;0             ;253             ;119.48;
02/03/2022;00:15:00;0             ;253             ;119.48;
02/03/2022;00:30:00;0             ;254             ;120.51;
02/03/2022;00:45:00;0             ;254             ;120.51;
02/03/2022;01:00:00;0             ;255             ;121.55;
02/03/2022;01:15:00;0             ;256             ;122.6;
02/03/2022;01:30:00;0             ;257             ;123.64;
02/03/2022;01:45:00;0             ;259             ;125.75;
02/03/2022;02:00:00;0             ;260             ;126.8;
02/03/2022;02:15:00;0             ;262             ;128.92;
02/03/2022;02:30:00;0             ;263             ;129.99;
02/03/2022;02:45:00;0             ;265             ;132.13;
02/03/2022;03:00:00;0             ;266             ;133.2;
02/03/2022;03:15:00;0             ;267             ;134.28;
02/03/2022;03:30:00;0             ;268             ;135.36;
02/03/2022;03:45:00;0             ;269             ;136.44;
02/03/2022;04:00:00;0             ;270             ;137.53;
02/03/2022;04:15:00;0             ;269             ;136.44;
02/03/2022;04:30:00;0             ;269             ;136.44;
02/03/2022;04:45:00;0             ;269             ;136.44;
02/03/2022;05:00:00;0             ;268             ;135.36;
02/03/2022;05:15:00;0             ;267             ;134.28;
02/03/2022;05:30:00;0             ;265             ;132.13;
02/03/2022;05:45:00;0             ;264             ;131.06;
02/03/2022;06:00:00;0             ;262             ;128.92;
02/03/2022;06:15:00;0             ;260             ;126.8;
02/03/2022;06:30:00;0             ;258             ;124.69;
02/03/2022;06:45:00;0             ;256             ;122.6;
02/03/2022;07:00:00;0             ;254             ;120.51;
02/03/2022;07:15:00;0             ;252             ;118.44;
02/03/2022;07:30:00;0             ;251             ;117.41;
02/03/2022;07:45:00;0             ;249             ;115.36;
02/03/2022;08:00:00;0             ;247             ;113.32;
02/03/2022;08:15:00;0             ;246             ;112.3;
02/03/2022;08:30:00;0             ;244             ;110.28;
02/03/2022;08:45:00;0             ;243             ;109.27;
02/03/2022;09:00:00;0             ;242             ;108.27;
02/03/2022;09:15:00;0             ;240             ;106.28;
02/03/2022;09:30:00;0             ;239             ;105.4;
02/03/2022;09:45:00;0             ;239             ;105.4;
02/03/2022;10:00:00;0             ;238             ;104.53;
02/03/2022;10:15:00;0             ;237             ;103.66;
02/03/2022;10:30:00;0             ;236             ;102.79;
02/03/2022;10:45:00;0             ;235             ;101.93;
02/03/2022;11:00:00;0             ;235             ;101.93;
02/03/2022;11:15:00;0             ;235             ;101.93;
02/03/2022;11:30:00;0             ;234             ;101.07;
02/03/2022;11:45:00;0             ;234             ;101.07;
02/03/2022;12:00:00;0             ;234             ;101.07;
02/03/2022;12:15:00;0             ;233             ;100.21;
02/03/2022;12:30:00;0             ;233             ;100.21;
02/03/2022;12:45:00;0             ;233             ;100.21;
02/03/2022;13:00:00;0             ;233             ;100.21;
02/03/2022;13:15:00;0             ;233             ;100.21;
02/03/2022;13:30:00;0             ;232             ;99.35;
02/03/2022;13:45:00;0             ;232             ;99.35;
02/03/2022;14:00:00;0             ;232             ;99.35;
02/03/2022;14:15:00;0             ;232             ;99.35;
02/03/2022;14:30:00;0             ;232             ;99.35;
02/03/2022;14:45:00;0             ;232             ;99.35;
02/03/2022;15:00:00;0             ;231             ;98.5;
02/03/2022;15:15:00;0             ;232             ;99.35;
02/03/2022;15:30:00;0             ;231             ;98.5;
02/03/2022;15:45:00;0             ;232             ;99.35;
02/03/2022;16:00:00;0             ;232             ;99.35;
02/03/2022;16:15:00;0             ;231             ;98.5;
02/03/2022;16:30:00;0             ;231             ;98.5;
02/03/2022;16:45:00;0             ;231             ;98.5;
02/03/2022;17:00:00;0             ;231             ;98.5;
02/03/2022;17:15:00;0             ;231             ;98.5;
02/03/2022;17:30:00;0             ;231             ;98.5;
02/03/2022;17:45:00;0             ;231             ;98.5;
02/03/2022;18:00:00;0             ;231             ;98.5;
02/03/2022;18:15:00;0             ;231             ;98.5;
02/03/2022;18:30:00;0             ;231             ;98.5;
02/03/2022;18:45:00;0             ;231             ;98.5;
02/03/2022;19:00:00;0             ;231             ;98.5;
02/03/2022;19:15:00;0             ;231             ;98.5;
02/03/2022;19:30:00;0             ;231             ;98.5;
02/03/2022;19:45:00;0             ;231             ;98.5;
02/03/2022;20:00:00;0             ;231             ;98.5;
02/03/2022;20:15:00;0             ;231             ;98.5;
02/03/2022;20:30:00;0             ;230             ;97.65;
